timestamp,Gender,Age,_Sector,_Department,Familiarity,Resistance,Openness,Usage,Tools,Motivations,Issues,IssuesDetails,Trust,Concerns,LossOfAutonomy,ReducedThinking,FearOfJobLoss,FearOfJobLossDetails,OtherConcerns,OtherConcernsDetails,Involved,WantToBeInvolved,ImpactOfBeingInvolved,WillingnessForTraining,Suggestions,Sector,Department,SupportDepartment,*Familiarity,*Openness,*Usage,*LossOfAutonomy,*ReducedThinking,*WillingnessForTraining
06/05/2024 15:39:46,Homme,25-35 ans,Telecom,Gestion de projet,Un peu familier,Non,Très ouvert,Très souvent,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,4,Non,Pas du tout,Pas du tout,Non,C'est un outil et seulement un outil.,Non,,Mon entreprise n'utilise pas l’IA,Oui,Oui,"Oui, certainement","On attend, on espère !",TIC,Gestion de Projet,opé,1,3,3,0.0,0.0,2
06/05/2024 15:41:45,Homme,18-25 ans,Construction et génie civil,Gestion de projet,Un peu familier,Oui,Plutôt réticent,Jamais,{'Autres'},{'Gain de temps'},Je ne m'en suis jamais servi,,3,Non,Pas du tout,Pas du tout,Non,La conduite de travaux ne nécessite pas l'utilisation d'IA,Non,,Mon entreprise n'utilise pas l’IA,Non,Oui,"Oui, certainement",,Immobilier et Construction,Gestion de Projet,opé,1,1,0,0.0,0.0,2
06/05/2024 15:43:28,Femme,18-25 ans,Industrie,Ressources Humaines,Un peu familier,Non,Très ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Partiellement,Considérablement,Non,Je vois ça plus comme une aide,Non,,Non,Oui,Oui,Peut-être,,Industrie et Technique,RH,sup,1,3,2,,3.0,1
06/05/2024 15:44:59,Homme,35-45 ans,Immobilier,Gestion de projet,Un peu familier,Non,Très ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Prise de decision', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,"Informations datées, incohérences nptamment dans la génération d'images",3,Non,Un peu,Pas du tout,Non,Les modèles d'IA ne peuvent pas encore remplacer les relations interpersonnelles des métiers de l'immobilier notamment,Non,,Mon entreprise n'utilise pas l’IA,Oui,Oui,"Oui, certainement","L'adoption massive d'un outil comme l'IA n'aura lieu que si des investissements importants sont réalisés dans la formation, et si des cas concrets sont présentés aux collaborateurs de l'entreprise. Un email invitant à télécharger copilot ne suffira pas !",Immobilier et Construction,Gestion de Projet,opé,1,3,2,1.0,0.0,2
06/05/2024 15:55:13,Homme,25-35 ans,Énergie et environnement,Vente/Commercialisation,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Assistant vocal'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Non,,3,Oui,Un peu,Considérablement,Non,il faudra toujours des humains pour prendre les décisions finales et vérifier leur applicabilité,Non,,Non,Oui,Oui,"Oui, certainement",,Énergie et Environnement,Ventes et Marketing,opé,1,2,1,1.0,3.0,2
06/05/2024 16:02:15,Homme,45-55 ans,Énergie et environnement,IT (Technologies de l'Information),Un peu familier,Non,Plutôt ouvert,Rarement,{'Autres'},{'Simplification des tâches quotidiennes'},Oui,,3,Oui,Un peu,Pas du tout,Non,Il faudra toujours quelqu'un pour challenger les résultats et vérifier leur cohérence.,Non,,Oui,Oui,Oui,Peut-être,,Énergie et Environnement,TIC,opé,1,2,1,1.0,0.0,1
06/05/2024 16:39:24,Femme,35-45 ans,Immobilier,Gestion de projet,Un peu familier,Non,Plutôt ouvert,Jamais,{'Reconnaissance faciale/biometrique'},"{'Gain de temps', 'Simplification des tâches quotidiennes'}",Je ne m'en suis jamais servi,,3,Oui,Partiellement,Partiellement,Oui,Tout est possible : l'IA se substituera à termes à beaucoup de professions dont la compétence et/ou mains d'oeuvre ne seront plus indispensables,Non,,Non,Non,Oui,"Oui, certainement",,Immobilier et Construction,Gestion de Projet,opé,1,2,0,,,2
06/05/2024 17:12:03,Femme,18-25 ans,Immobilier,Finance/Comptabilité,Un peu familier,Non,Très ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Oui,Pas fiable sur des demandes techniques,4,Oui,Un peu,Partiellement,Oui,Car il est facile de pouvoir mettre en place des outils d'automatisation diminuant le besoin de contrôleur de gestion,Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Finance et Comptabilité,sup,1,3,1,1.0,,2
06/05/2024 17:28:55,Homme,35-45 ans,Immobilier,Direction,Un peu familier,Non,Plutôt ouvert,Rarement,{'Assistant vocal'},{'Gain de temps'},Je ne m'en suis jamais servi,,3,Non,Pas du tout,Pas du tout,Non,L'IA n'est rien sans l'Homme.,Non,,Mon entreprise n'utilise pas l’IA,Oui,Oui,"Oui, certainement",Une IA qui nous permet de mieux traiter les courriels.,Immobilier et Construction,Direction et Management,dir,1,2,1,0.0,0.0,2
06/05/2024 17:40:10,Homme,25-35 ans,Immobilier,Investissement,Pas du tout familier,Non,Plutôt ouvert,Rarement,{'Reconnaissance faciale/biometrique'},"{'Gain de temps', 'Amélioration de la productivité'}",Je ne m'en suis jamais servi,,2,Oui,Partiellement,Partiellement,Non,Métier de relationnel,Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Finance et Comptabilité,opé,0,2,1,,,2
06/05/2024 17:54:40,Homme,55 ans et plus,Santé et services sociaux,Direction,Un peu familier,Non,Très ouvert,Parfois,"{'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,2,Non,Pas du tout,Un peu,Non,"je pense que l'IA au contraire permettra d'aller plus loin dans sa reflexion et son apport personnel dans son métier, ce dernier subira probablement de forte évolutions",Non,,Non,Oui,Oui,"Oui, certainement","avoir une formation, mieux connaitre les outils et les domaines d'application dans mon métier de tous les jours",Santé et Services Sociaux,Direction et Management,dir,1,3,2,0.0,1.0,2
06/05/2024 17:57:14,Homme,35-45 ans,Immobilier,Développement,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Un peu,Un peu,Non,"Mon emploi est assez transversal et nécessite non seulement des compétences dans divers domaines mais également des échanges avec de nombreux interlocuteurs (humains), difficile à remplacer totalement par de l'IA dans l'immédiat.",Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,R&D,opé,1,2,1,1.0,1.0,2
06/05/2024 17:59:45,Femme,45-55 ans,Immobilier,Finance/Comptabilité,Pas du tout familier,Non,Plutôt ouvert,Jamais,"{'Reconnaissance faciale/biometrique', 'Assistant vocal'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Je ne m'en suis jamais servi,,3,Oui,Un peu,Un peu,Non,,Non,,Non,Non,Non,Peut-être,,Immobilier et Construction,Finance et Comptabilité,sup,0,2,0,1.0,1.0,1
06/05/2024 18:57:15,Homme,18-25 ans,Construction et génie civil,Gestion de projet,Un peu familier,Non,Plutôt ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité'}",Oui,"J'ai fournit le texte d'un camarade pour créer un texte qui aurait la même longueur et la même structure, au final ChatGPT a juste reformulé le travail de ma collègue et j'ai rendu un quasi copié-collé de ce qu'elle avait fait. Sacré aventure !",3,Oui,Partiellement,Partiellement,Non,L'IA ne peut pas discuter à la machine à café et selon moi c'est ce qui constitue 67% du bien être en entreprise.,Non,,Non,Oui,Oui,"Oui, certainement","Il faudrait pouvoir intégrer L'IA au sein d'une entreprise avec différentes formations et séminaires pour apprendre à s'en servir, comprendre ses capacités mais aussi ses limites pour mieux cerner les avzntages",Immobilier et Construction,Gestion de Projet,opé,1,2,2,,,2
06/05/2024 18:59:15,Femme,45-55 ans,Industrie,Achat,Un peu familier,Non,Plutôt ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Prise de decision', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,"Réponses pas toujours pertinentes, il faut bien formuler ce que l’on souhaite",3,Oui,Partiellement,Partiellement,Non,L’IA ne se base que sur des réponses déjà données dans le passé. Il y aura toujours besoin d’une intelligence humaine pour l’innovation,Oui,Le fonctionnement de l’IA doit être transparent pour les utilisateurs et les algorithmes ouverts à tous afin de contrôler d’éventuels dysfonctionnements,Oui,Oui,Oui,"Oui, certainement",,Industrie et Technique,Achats et Supply Chain,opé,1,2,2,,,2
06/05/2024 19:00:19,Homme,18-25 ans,Construction et génie civil,Gestion de projet,Un peu familier,Non,Plutôt ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité'}",Oui,"L'IA ne dépend que de la commande d'entrée, il faut savoir bien décrire ce que l'on recherche pour avoir une aide pertinente.",3,Non,Partiellement,Partiellement,Non,"L'IA ne peut pas discuter à la machine à café, et c'est selon moi ce qui constitue à 67% le bien être en entreprise.",Non,,Non,Oui,Oui,"Oui, certainement",Il faudrait pouvoir intégrer L'IA au sein d'une entreprise avec des formations et des séminaires pour mieux comprendre les capacités mais aussi les limites de L'IA.,Immobilier et Construction,Gestion de Projet,opé,1,2,2,,,2
06/05/2024 19:28:00,Femme,35-45 ans,Immobilier,Ressources Humaines,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'découvrir et apprendre autrement'}",Oui,bien calibrer le prompt,3,Non,Partiellement,Pas du tout,Non,"Hormis la phrase d'apprentissage, je pense qu'on gagne du temps sur des missions à faible valeur ajoutée",Oui,l'accompagnement de l'entreprise et des collaborateurs : tous les embarquer,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,RH,sup,1,2,1,,0.0,2
06/05/2024 19:37:01,Homme,45-55 ans,Énergie et environnement,IT (Technologies de l'Information),"Oui, très familier",Non,Très ouvert,Très souvent,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,4,Non,Pas du tout,Pas du tout,Non,"Au contraire, cela va dans le sens de la transformation des métiers. Les métiers de demain n’existent pas aujourd’hui",Non,,Oui,Oui,Oui,"Oui, certainement",,Énergie et Environnement,TIC,opé,2,3,3,0.0,0.0,2
06/05/2024 19:52:50,Femme,18-25 ans,Construction et génie civil,Gestion de projet,Un peu familier,Oui,Plutôt ouvert,Jamais,{'Reconnaissance faciale/biometrique'},{'Gain de temps'},Je ne m'en suis jamais servi,,2,Non,Pas du tout,Un peu,Non,Gestion des chantiers : contact humain et management d’équipe,Non,,Non,Non,Non,Peut-être,,Immobilier et Construction,Gestion de Projet,opé,1,2,0,0.0,1.0,1
06/05/2024 21:07:25,Homme,18-25 ans,Construction et génie civil,Production/Fabrication,Un peu familier,Non,Plutôt ouvert,Rarement,{'Reconnaissance faciale/biometrique'},"{'Gain de temps', 'Amélioration de la productivité'}",Non,,3,Oui,Considérablement,Considérablement,Non,L'aspect humain et la décision humaine qui en découle dans le secteur du BTP reste importante et nécessaire aujourd'hui,Oui,"Un paresse d'esprit, vol de données, perte de la dimension humaine et affective,....",Non,Oui,Non,"Oui, certainement",,Immobilier et Construction,Production,opé,1,2,1,3.0,3.0,2
06/05/2024 21:17:10,Homme,35-45 ans,Technologies de l'information et de la communication (TIC),IT (Technologies de l'Information),Un peu familier,Non,Plutôt ouvert,Jamais,"{'Prise de decision', 'Assistant vocal', 'Gestion des relations client', 'Language Model', 'Reconnaissance faciale/biometrique'}","{'Gain de temps', 'Accès à des recommandations personnalisées', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Oui,Considérablement,Partiellement,Oui,Je travaille en tant que développeur de solution BI et à terme l'IA pourra réaliser 80% des tâches que je fais.,Non,,Non,Oui,Oui,"Oui, certainement",,TIC,TIC,opé,1,2,0,3.0,,2
06/05/2024 21:29:42,Homme,18-25 ans,Énergie et environnement,Gestion de projet,Un peu familier,Non,Plutôt ouvert,Rarement,{'Reconnaissance faciale/biometrique'},{'Amélioration de la productivité'},Oui,Fausses informations; perte de temps,3,Oui,Un peu,Considérablement,Non,L'IA ne pourra pas remplacer des managers et des chefs de projets. (qui voudrais recevoir des ordres d'une IA ou voudrais avoir comme client/Prestataire une IA ?),Oui,"Grosse perte en compétence, du savoir-faire et manque d'humanité dans le travail (je ne suis pas travaillé avec une IA comme collègue). Cela doit rester un outil.",Non,Oui,Non,Peut-être,,Énergie et Environnement,Gestion de Projet,opé,1,2,1,1.0,3.0,1
06/05/2024 22:11:08,Femme,18-25 ans,Technologies de l'information et de la communication (TIC),IT (Technologies de l'Information),"Oui, très familier",Non,Très ouvert,Très souvent,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,informations erronées : l’utilisation de l’IA est conditionnée par la compréhension global du sujet traité,3,Non,Pas du tout,Un peu,Non,je travaille dans l’IA,Non,,Non,Oui,Oui,"Oui, certainement",,TIC,TIC,opé,2,3,3,0.0,1.0,2
06/05/2024 22:22:37,Homme,18-25 ans,Santé et services sociaux,R&D,"Oui, très familier",Non,Très ouvert,Très souvent,"{'Reconnaissance faciale/biometrique', 'Prise de decision', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Pas du tout,Pas du tout,Non,"L'IA ne crée pas, c'est simplement un outil d'aide à la création",Non,,Mon entreprise n'utilise pas l’IA,Oui,Oui,"Oui, certainement",Une échelle pour savoir à quel point on maîtrise ou on se fait maîtriser par l'IA me semble pertinent.,Santé et Services Sociaux,R&D,opé,2,3,3,0.0,0.0,2
06/05/2024 22:50:23,Homme,55 ans et plus,Finance et assurance,Direction,Un peu familier,Non,Plutôt ouvert,Rarement,{'Autres'},"{""Pas d'IA""}",Je ne m'en suis jamais servi,,3,Non,Partiellement,Partiellement,Non,"En charge du développement de notre société Courtage en Assurances, je ne me sens pas en danger face à l'IA",Non,,Mon entreprise n'utilise pas l’IA,Non,Non,"Oui, certainement",Je ne vois pas comment l'IA pourrait nous aider à nous développer plus rapidement et mieux. Je ne suis pas pour autant fermé à  participer à une réunion de travail sur le sujet,Finance et Assurance,Direction et Management,dir,1,2,1,,,2
06/05/2024 23:18:54,Homme,18-25 ans,Construction et génie civil,Gestion de projet,"Oui, très familier",Non,Très ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Accès à des recommandations personnalisées', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,4,Non,Pas du tout,Partiellement,Non,RAS,Non,,Mon entreprise n'utilise pas l’IA,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Gestion de Projet,opé,2,3,1,0.0,,2
06/05/2024 23:32:25,Femme,18-25 ans,Construction et génie civil,Gestion de projet,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Assistant vocal'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Oui,Un peu,Un peu,Non,L'IA est une aide,Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Gestion de Projet,opé,1,2,1,1.0,1.0,2
07/05/2024 08:25:51,Homme,35-45 ans,Technologies de l'information et de la communication (TIC),IT (Technologies de l'Information),Un peu familier,Non,Plutôt ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,2,Oui,Un peu,Partiellement,Non,Évolution des emplois.,Non,"Non plus sur le domaine personnel (santé, organisme financier, etc).",Non,Non,Oui,"Oui, certainement",,TIC,TIC,opé,1,2,2,1.0,,2
07/05/2024 09:07:31,Femme,55 ans et plus,"Services professionnels (consulting, juridique, comptabilité, etc.)",Juridique,Pas du tout familier,Oui,Plutôt réticent,Rarement,{'Autres'},{'Accès à des recommandations personnalisées'},Je ne m'en suis jamais servi,,2,Oui,Considérablement,Considérablement,Oui,Il pourra faire des taches qu’une personne peut facilement faire,Oui,,Mon entreprise n'utilise pas l’IA,Non,Non,"Non, probablement pas",,Services Professionnels,Juridique,sup,0,1,1,3.0,3.0,0
07/05/2024 09:19:04,Femme,55 ans et plus,Immobilier,Direction,Pas du tout familier,Non,Plutôt ouvert,Jamais,{'Autres'},{'Simplification des tâches quotidiennes'},Je ne m'en suis jamais servi,,3,Non,Pas du tout,Pas du tout,Non,Il faudra toujours des relations humaines pour régler différents problèmes. Beaucoup de choses peuvent se régler avec de la communication.,Non,,Non,Non,Oui,Peut-être,,Immobilier et Construction,Direction et Management,dir,0,2,0,0.0,0.0,1
07/05/2024 09:20:52,Homme,45-55 ans,Énergie et environnement,Direction,Un peu familier,Non,Très ouvert,Parfois,"{'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,4,Non,Pas du tout,Pas du tout,Non,Non car je n'exerce pas d'activités pouvant facilement être prises en charge par de l'IA,Non,,Non,Oui,Oui,"Oui, certainement",,Énergie et Environnement,Direction et Management,dir,1,3,2,0.0,0.0,2
07/05/2024 09:29:43,Femme,18-25 ans,Commerce de détail,Marketing/Communication,Un peu familier,Non,Plutôt réticent,Jamais,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}",{'Accès à des recommandations personnalisées'},Non,,2,Oui,Partiellement,Un peu,Oui,Il peut remplacer les métiers en communication et marketing,Oui,,Mon entreprise n'utilise pas l’IA,Non,Non,Peut-être,,Commerce & Marketing,Ventes et Marketing,sup,1,1,0,,1.0,1
07/05/2024 09:33:15,Homme,18-25 ans,Immobilier,Gestion de projet,"Oui, très familier",Non,Très ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Oui,"Fausses informations, doutes sur la confidentialité des informations que je renseigne à chatGPT par ex",3,Non,Pas du tout,Pas du tout,Non,Mon emploi est trop basé sur le relationnel pour être remplacé dans l'immédiat,Non,,Oui,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Gestion de Projet,opé,2,3,2,0.0,0.0,2
07/05/2024 10:11:13,Homme,35-45 ans,Immobilier,Finance/Comptabilité,Un peu familier,Non,Plutôt ouvert,Très souvent,{'Language Model'},"{'Gain de temps', 'Simplification des tâches quotidiennes'}",Non,,4,Non,Un peu,Un peu,Non,ELLE NE VAS PAS REPONDRE AU CLIENT,Non,,Non,Oui,Oui,"Oui, certainement",POUR LE TRAITEMENT DE TEXTE C'EST GENIAL,Immobilier et Construction,Finance et Comptabilité,sup,1,2,3,1.0,1.0,2
07/05/2024 11:04:32,Homme,18-25 ans,Technologies de l'information et de la communication (TIC),Direction,"Oui, très familier",Non,Très ouvert,Très souvent,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,Informations fausses / Hallucination,4,Non,Considérablement,Considérablement,Non,Poste de direction peu impacté,Non,,Oui,Oui,Oui,"Oui, certainement",,TIC,Direction et Management,dir,2,3,3,3.0,3.0,2
07/05/2024 11:24:27,Femme,25-35 ans,Technologies de l'information et de la communication (TIC),Gestion de projet,Un peu familier,Non,Très ouvert,Jamais,"{'Reconnaissance faciale/biometrique', 'Assistant vocal'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Je ne m'en suis jamais servi,,3,Non,Moyennement,Pas du tout,Oui,L'IA est plus efficace et moins couteuse,Non,,Mon entreprise n'utilise pas l’IA,Oui,Oui,"Oui, certainement",,TIC,Gestion de Projet,opé,1,3,0,2.0,0.0,2
07/05/2024 11:25:10,Homme,18-25 ans,"Services professionnels (consulting, juridique, comptabilité, etc.)",Gestion de projet,"Oui, très familier",Non,Plutôt ouvert,Très souvent,{'Language Model'},"{'Gain de temps', 'Accès à des recommandations personnalisées', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,Réponses non adaptées,2,Non,Pas du tout,Un peu,Non,"L’IA est un outil comme un autre, il va faire gagner en efficacité mais n’est pas assez mature pour me remplacer, même à long terme",Non,,Oui,Oui,Oui,"Oui, certainement",,Services Professionnels,Gestion de Projet,opé,2,2,3,0.0,1.0,2
07/05/2024 11:28:39,Homme,35-45 ans,Le même que toi,Gestion de projet,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Non,,3,Oui,Pas du tout,Pas du tout,Oui,La majeure partie des tâches réalisées peut être réalisée par IA,Oui,Décision prise par IA peut avoir un impact sur la sécurité des personnes,Non,Non,Oui,"Oui, certainement",,Unknown,Gestion de Projet,opé,1,2,1,0.0,0.0,2
